Localidad;Tipo de propiedad;Direccion
BARRIOS UNIDOS;EDIFICIO;CL66#50-47 TERRANOVA III Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR65#67-13 PARMENIO Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL77#64-25 KAYROS Bogota Colombia
BARRIOS UNIDOS;EDIFICIO; Carrera 63 No. 98 B - 51 CALLE 100 Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;CARRERA 50 B # 64 - 44 CAMINO DEL VIENTO ETAPA I Bogota Colombia
BARRIOS UNIDOS;EDIFICIO MULTIFAMILIAR;KR20#80-10 LOS HEROES Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL99#49-38 CENTUM Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR49#91-50 CASTELLANA PLAZA Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;CL75A#66-51 METROPOLIS UNIDAD DIECINUEVE Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL65#19-81 ESQUINA 65 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR49A#93-58 NEXUS LA CASTELLANA Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR14A#71A-59 CALLE 72 Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;CL80#54A-25 METROPOLIS UNIDAD DOCE 12 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR25#66-79 YALI Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;CL78#66-52 METROPOLIS UNIDAD 16 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR63#90-42 PARQUE DE LOS ANDES  PROPIEDAD HORIZONTAL Bogota Colombia
BARRIOS UNIDOS;EDIFICIO MULTIFAMILIAR;CL74A#65B-50 ARCANO Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR49#99-23 CASTELLANA TOWER 100 Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;CL79A#66-66 METROPOLIS UNIDAD 14 Bogota Colombia
