Localidad,Tipo de propiedad,Direccion,latitud,longitud
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,CL65#56B-33 PARQUE DELOS ALMENDROS  Bogota Colombia,4.6640985,-74.0826167
BARRIOS UNIDOS,AGRUPACIÓN DE VIVIENDA,CL74A#66-72 METROPOLIS UNIDAD veinte Bogota Colombia,4.674795899999999,-74.07942360000001
BARRIOS UNIDOS,EDIFICIO,KR66#98-52 PORTAL DE VIZCAYA Bogota Colombia,4.6891475,-74.0705131
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,CL63DBis#28A-52 SALAMANCA Bogota Colombia,4.666371799999999,-74.14234669999999
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,KR67#97-96  LAS TORRES DE VIZCAYA Bogota Colombia,4.6888483,-74.0710785
BARRIOS UNIDOS,EDIFICIO MULTIFAMILIAR,CL78#63-20  SALOMON II Bogota Colombia,4.6729457,-74.0714003
BARRIOS UNIDOS,EDIFICIO,CL83#22A-25 LA PORTADA DEL POLO Bogota Colombia,4.6708992,-74.0621643
BARRIOS UNIDOS,EDIFICIO,KR23#63D-11  Esquina 63D Bogota Colombia,4.6543914,-74.0711783
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,CL94A#61-05  MENDIGUACA Bogota Colombia,4.6842749,-74.0687893
BARRIOS UNIDOS,AGRUPACIÓN DE VIVIENDA,CL74A#66-28 METROPOLIS UNIDAD DIECIOCHO Bogota Colombia,4.674795899999999,-74.07942360000001
BARRIOS UNIDOS,EDIFICIOS MULTIFAMILIARES,AC80#23-86  COLPATRIA SEGUNDO SECTOR Bogota Colombia,4.6947594,-74.0878288
BARRIOS UNIDOS,UNIDAD RESIDENCIAL,DG85#33-13 POLO OCCIDENTAL SEGUNDO SECTOR  Bogota Colombia,4.7065667,-74.0952419
BARRIOS UNIDOS,CASA,AC80#58-64 UNIDAD SIETE DEL CONJUNTO RESIDENCIAL ENTRE RIOS Bogota Colombia,4.6802605,-74.0757692
BARRIOS UNIDOS,EDIFICIO,KR26#71B-30 72 HUB Bogota Colombia,4.6634287,-74.0680382
BARRIOS UNIDOS,AGRUPACIÓN DE VIVIENDA,CL74A#66-55 METROPOLIS UNIDAD VEINTIUNO Bogota Colombia,4.710988599999999,-74.072092
BARRIOS UNIDOS,CASA,KR58#80-75 UNIDAD DIEZ DEL CONJUNTO RESIDENCIAL ENTRE RIOS Bogota Colombia,4.678725500000001,-74.075396
BARRIOS UNIDOS,EDIFICIO,KR20B#75-54  SITGES Bogota Colombia,4.710988599999999,-74.072092
BARRIOS UNIDOS,EDIFICIO MULTIFAMILIAR,KR66#73-04 BALCONES DE METROPOLIS III Bogota Colombia,4.677656499999999,-74.0821041
BARRIOS UNIDOS,UNIDAD RESIDENCIAL,KR28#80-19 POLO OCCIDENTAL PRIMER SECTOR Bogota Colombia,4.7164158,-74.10285429999999
BARRIOS UNIDOS,CONJUNTO,CL96#45A-40AG3 VILLA CALASANZ ETAPA II AGRUPACION 3 Bogota Colombia,4.6847623,-74.0588479
BARRIOS UNIDOS,AGRUPACIÓN DE VIVIENDA,KR66#79-84  METROPOLIS UNIDAD TRES Bogota Colombia,4.6364207,-74.1280333
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,CL64A#52-53 PARQUE CENTRAL SALITRE ETAPA III Bogota Colombia,4.6627695,-74.0816967
BARRIOS UNIDOS,EDIFICIO,KR63#77-27  Khami 63 Bogota Colombia,4.710988599999999,-74.072092
BARRIOS UNIDOS,EDIFICIO,KR48#98-81 CASTELLANA 98 Bogota Colombia,4.6866772,-74.0605015
BARRIOS UNIDOS,EDIFICIO,KR65A#67-12  FERRARA Bogota Colombia,4.710988599999999,-74.072092
BARRIOS UNIDOS,AGRUPACIÓN DE VIVIENDA,KR66#79A-82 METROPOLIS UNIDAD UNO Bogota Colombia,4.6814763,-74.0796264
BARRIOS UNIDOS,EDIFICIO,CL71#15-28 ECO LOFT ESTUDIOS  Bogota Colombia,4.6862978,-74.09699
BARRIOS UNIDOS,propiedad, KR 68 # 75 A 50  METROPOLIS + CENTRO COMERCIAL EMPRESARIAL Bogota Colombia,4.6804519,-74.082871
BARRIOS UNIDOS,EDIFICIO MULTIFAMILIAR,CL85A#20-61  BUENAVISTA Bogota Colombia,4.6736383,-74.0639287
BARRIOS UNIDOS,EDIFICIO,CL74#55-18  PARQUE EL SALITRE Bogota Colombia,4.663649,-74.08733749999999
BARRIOS UNIDOS,EDIFICIO,DG75Bis#20-68 A Y B Bogota Colombia,4.6635595,-74.0618875
BARRIOS UNIDOS,EDIFICIO,CL99#49-78 CASTELLANA 99 BUSINESS CENTER Bogota Colombia,4.6873757,-74.0621665
BARRIOS UNIDOS,EDIFICIO,KR50A#66-66 AURORA Bogota Colombia,4.710988599999999,-74.072092
